Puzis add SotA avg., Puzis removal SotA avg., Puzis add SotA peak, Dynamic add GBC avg., Dynamic add GBC peak, Puzis removal SotA peak, Dynamic removal GBC avg., Dynamic removal GBC peak
78.50533670774648, 84.49951171875, 90.671875, 94.03891108419273, 105.42578125, 91.125, 93.65500370797628, 105.45703125
83.94949383802818, 84.19325086805556, 90.8671875, 95.45788261217949, 105.44140625, 91.1328125, 95.3065905448718, 105.54296875
84.15538194444444, 84.12641059027777, 90.91796875, 95.50415990259741, 105.47265625, 91.05078125, 95.44673295454545, 105.4765625
83.87659551056338, 84.23795572916667, 90.82421875, 95.60002055921052, 105.48828125, 91.08984375, 95.32837540064102, 105.55859375
84.169921875, 84.25569661458333, 90.93359375, 95.41411389802632, 105.390625, 91.04296875, 95.32702323717949, 105.55078125
84.10189260563381, 84.34225171232876, 90.875, 95.24751420454545, 105.47265625, 91.125, 95.25390625, 105.6015625
84.1557548415493, 84.41541883680556, 90.83203125, 95.12660256410257, 105.43359375, 91.0390625, 95.43199118589743, 105.58203125
84.19360695422536, 84.33904109589041, 90.8515625, 95.33614042207792, 105.48828125, 91.12109375, 95.37680288461539, 105.6171875
84.05723741319444, 84.34895833333333, 90.921875, 95.61167868589743, 105.40234375, 91.0390625, 94.87803819444444, 105.53515625
83.99119718309859, 84.41276041666667, 90.83203125, 95.45124797077922, 105.5078125, 91.12109375, 94.63699776785714, 105.6171875
83.98817274305556, 84.44965277777777, 90.921875, 95.50700081168831, 105.40625, 91.0390625, 95.289599609375, 105.53515625
84.02013644366197, 84.38755208333333, 90.90625, 95.46037212171052, 105.5078125, 91.0390625, 95.58573717948718, 105.6171875
84.02690360915493, 84.34053938356165, 90.84375, 95.56424753289474, 105.42578125, 91.12109375, 94.83503239329268, 105.5546875
83.99603873239437, 84.52994791666667, 90.83984375, 95.35947516025641, 105.5078125, 91.0390625, 95.37539556962025, 105.6171875
84.07752821180556, 84.53542751736111, 90.9296875, 95.49086850649351, 105.47265625, 91.12109375, 94.75729480421687, 105.53515625
84.04372829861111, 84.49235026041667, 90.83984375, 95.42841923701299, 105.5234375, 91.0390625, 95.34716178797468, 105.6171875
84.13677376760563, 84.45648871527777, 90.83984375, 95.50126826298701, 105.46484375, 91.08203125, 95.16114517405063, 105.53515625
84.05750868055556, 84.4480415239726, 90.83984375, 95.58305921052632, 105.546875, 91.03515625, 95.628076171875, 105.6171875
84.10628255208333, 84.51057942708333, 90.92578125, 95.35947516025641, 105.46875, 91.1171875, 95.51029829545455, 105.51953125
84.05688820422536, 84.48663072183099, 90.83984375, 95.68161525974025, 105.55078125, 91.0546875, 95.47154017857143, 105.51953125
84.11504181338029, 84.61018880208333, 90.83984375, 95.5166396103896, 105.54296875, 91.12109375, 95.09892578125, 105.58203125
84.13254123263889, 84.58268229166667, 90.92578125, 95.51872996794872, 105.55078125, 91.0390625, 95.4206388449367, 105.578125
84.08143446180556, 84.5855629280822, 90.83984375, 95.4736328125, 105.44921875, 91.12109375, 95.49873173701299, 105.6015625
84.1357421875, 84.59190538194444, 90.91796875, 95.4686999198718, 105.44921875, 91.0390625, 95.58918425324676, 105.5234375
84.09304470486111, 84.49063570205479, 90.8359375, 95.19892207278481, 105.53125, 91.12109375, 95.52272727272727, 105.58203125
