Add Puzis SotA, Remove Puzis SotA, Add Dynamic GBC, Remove Dynamic GBC
6.918184757232666, 6.9848480224609375, 14.520106315612793, 15.12255311012268
13.829211711883545, 13.992671728134155, 22.079127073287964, 22.686607837677002
20.794636249542236, 20.95991826057434, 29.570748567581177, 30.171547412872314
27.709085941314697, 27.963619709014893, 36.989428758621216, 37.78276872634888
34.72661471366882, 34.93927216529846, 44.409754037857056, 45.391845703125
41.61871123313904, 41.98468279838562, 51.94316029548645, 53.012893199920654
48.5493483543396, 48.98534655570984, 59.48186779022217, 60.58176779747009
55.47044253349304, 56.023239850997925, 66.95672249794006, 68.18255138397217
62.45218110084534, 63.009488344192505, 74.5657651424408, 76.06249403953552
69.37154173851013, 70.04201865196228, 82.02324056625366, 84.21216988563538
76.36356043815613, 77.00335001945496, 89.55156350135803, 91.94783210754395
83.26868510246277, 84.25400519371033, 96.96721696853638, 99.49907755851746
90.15310287475586, 91.29077625274658, 104.38944149017334, 107.49791812896729
97.0752625465393, 98.24193692207336, 111.96800017356873, 115.15055060386658
104.05595660209656, 105.25155806541443, 119.4612603187561, 123.18966484069824
111.0650007724762, 112.20622873306274, 126.94107007980347, 130.87454915046692
117.9542248249054, 119.18530607223511, 134.4316828250885, 138.552321434021
124.91698360443115, 126.22963619232178, 141.8507308959961, 146.29144740104675
131.90483474731445, 133.18287825584412, 149.42818593978882, 153.7688946723938
138.8250663280487, 140.1145098209381, 156.89862060546875, 161.28190279006958
145.7300226688385, 147.09948682785034, 164.37147855758667, 169.0987434387207
152.70134210586548, 154.05904412269592, 171.96739315986633, 176.76694583892822
159.64038801193237, 161.09774494171143, 179.39434933662415, 184.28884840011597
166.61828684806824, 168.0674705505371, 186.9553725719452, 191.81731748580933
173.5574927330017, 175.18886137008667, 194.68453669548035, 199.33323216438293
180.54006552696228, 182.1576588153839, 202.19320917129517, 207.36653637886047
187.43769645690918, 189.11651420593262, 209.88680720329285, 214.96164274215698
194.6081440448761, 196.074702501297, 217.41307497024536, 222.44251918792725
201.62719011306763, 203.01748061180115, 224.88785982131958, 230.35363674163818
208.5352282524109, 210.04657697677612, 232.43824863433838, 238.0871467590332
215.4431185722351, 217.02964067459106, 239.9576234817505, 245.6148271560669
222.33884072303772, 223.96428227424622, 247.4949312210083, 253.4996120929718
229.34543132781982, 230.92496871948242, 254.93871092796326, 261.6609869003296
236.3805389404297, 237.8680386543274, 262.46681785583496, 269.31959342956543
243.35214471817017, 244.82404732704163, 269.88276743888855, 276.884375333786
250.38216614723206, 251.84170579910278, 277.35425996780396, 284.61775970458984
257.3162820339203, 258.81530570983887, 284.94723534584045, 292.7144274711609
264.21540451049805, 265.830397605896, 292.4853050708771, 300.5168797969818
271.19532918930054, 272.8175914287567, 300.0825572013855, 308.2533061504364
278.24245524406433, 279.8052990436554, 307.69035267829895, 316.1399259567261
285.276611328125, 286.7812361717224, 315.2684509754181, 324.3679714202881
292.29175448417664, 293.81183433532715, 322.85394763946533, 332.03516149520874
299.2846074104309, 300.7935540676117, 330.49408292770386, 340.32970666885376
306.25746512413025, 307.8593907356262, 337.9477231502533, 348.29771304130554
313.3795132637024, 314.8252007961273, 345.4833917617798, 356.1573791503906
320.42762875556946, 321.8035888671875, 353.035591840744, 363.84808826446533
327.3407208919525, 328.789288520813, 360.564435005188, 372.2890820503235
334.3227767944336, 335.77752709388733, 368.05149817466736, 380.0658309459686
341.2802846431732, 342.79273080825806, 375.7314143180847, 388.24971771240234
348.32646918296814, 349.81191873550415, 383.4098598957062, 395.9259514808655
355.28869891166687, 356.7333974838257, 390.98919320106506, 404.0273950099945
362.27424788475037, 363.70994758605957, 398.60483503341675, 411.89182019233704
369.2503430843353, 370.7279019355774, 406.103639125824, 419.5678508281708
376.2840988636017, 377.654363155365, 413.7477033138275, 427.1883978843689
383.27881360054016, 384.64155292510986, 421.28208661079407, 435.0176544189453
390.28110671043396, 391.5895576477051, 428.8983221054077, 442.9019658565521
397.1973445415497, 398.6154074668884, 436.6228377819061, 450.4955048561096
404.23703622817993, 405.60914850234985, 444.43252873420715, 458.4595992565155
411.16673970222473, 412.61596393585205, 452.0344190597534, 466.64978432655334
418.16397500038147, 419.5630533695221, 459.707968711853, 474.443097114563
425.08610582351685, 426.52359223365784, 467.3378059864044, 482.07400488853455
432.04048252105713, 433.4359784126282, 474.9082577228546, 489.728467464447
439.0618517398834, 440.38190484046936, 482.59372329711914, 497.54566764831543
446.0027470588684, 447.31406688690186, 490.32650899887085, 505.412722826004
453.00866317749023, 454.34605503082275, 497.96017384529114, 512.9467918872833
459.95101833343506, 461.2883765697479, 505.511376619339, 520.5285296440125
466.9687864780426, 468.3003454208374, 513.1777091026306, 528.3700926303864
473.8989808559418, 475.2443952560425, 520.9181921482086, 535.8847713470459
480.88065552711487, 482.29031014442444, 528.5396492481232, 543.6036036014557
487.8175137042999, 489.2309670448303, 536.0720407962799, 551.3342571258545
494.8540573120117, 496.24602603912354, 543.7614240646362, 559.1544291973114
501.78526425361633, 503.2457251548767, 551.4582121372223, 566.9264750480652
508.759072303772, 510.2146165370941, 559.001841545105, 574.7445070743561
515.6735479831696, 517.217785358429, 566.5227336883545, 582.8151454925537
522.5856320858002, 524.1856768131256, 574.2731177806854, 590.7680599689484
529.5602922439575, 531.1409478187561, 581.7880370616913, 598.9489960670471
536.5143539905548, 538.1049039363861, 589.3405528068542, 607.3142883777618
543.491448879242, 545.0588309764862, 596.8321986198425, 615.0601618289948
550.4279963970184, 551.9833822250366, 604.425665140152, 622.8807201385498
557.4561145305634, 558.9932124614716, 612.044385433197, 630.7292096614838
564.4021422863007, 565.9726803302765, 619.6196231842041, 638.4019842147827
571.3765602111816, 572.9272713661194, 627.1556055545807, 646.4884829521179
578.3005697727203, 579.8612790107727, 634.8042132854462, 654.1666855812073
585.2824816703796, 586.8144245147705, 642.4873747825623, 662.0787765979767
592.232353925705, 593.7637002468109, 650.0588128566742, 669.8589065074921
599.2515499591827, 600.6768178939819, 657.7200529575348, 677.7070508003235
606.1920034885406, 607.7147636413574, 665.2251589298248, 685.9383251667023
613.2003357410431, 614.6655311584473, 672.9740889072418, 693.5020353794098
620.1519870758057, 621.6668105125427, 680.5229713916779, 701.1265139579773
627.1609063148499, 628.605443239212, 688.1421070098877, 708.9532463550568
634.1018347740173, 635.666029214859, 695.9351065158844, 716.8882281780243
641.1137278079987, 642.6262366771698, 703.7417316436768, 724.8893468379974
648.0755541324615, 649.6399948596954, 711.3574702739716, 732.539345741272
655.0547225475311, 656.5929796695709, 718.9152750968933, 740.6347548961639
662.0525612831116, 663.6020638942719, 726.4397053718567, 748.643486738205
669.0793554782867, 670.5889954566956, 734.0510618686676, 756.4328005313873
676.0190601348877, 677.62868475914, 741.7590942382812, 764.2321169376373
683.0227801799774, 684.5861027240753, 749.3252384662628, 772.0565881729126
689.9664664268494, 691.5545859336853, 756.9623734951019, 780.1020004749298
696.9583315849304, 698.4684998989105, 764.668924331665, 787.582204580307
