puzis SotA, operation = add, graph nodes = 1000, graph edges 5852, edge stream size = 100, groups size = 10, number of groups = 10
1, 219941172, space
2, 219933892, space
3, 219932740, space
4, 219936844, space
5, 219934092, space
6, 219932020, space
7, 219936476, space
8, 219934348, space
9, 219931972, space
10, 219936476, space
11, 219934604, space
12, 219931892, space
13, 219936476, space
14, 219934860, space
15, 219931844, space
16, 219936476, space
17, 219935116, space
18, 219932100, space
19, 219936476, space
20, 219935372, space
21, 219932620, space
22, 219932108, space
23, 219935628, space
24, 219932876, space
25, 219932108, space
26, 219935884, space
27, 219933132, space
28, 219932108, space
29, 219936140, space
30, 219933388, space
31, 219932108, space
32, 219936396, space
33, 219933644, space
34, 219932108, space
35, 219936652, space
36, 219933900, space
37, 219932108, space
38, 219939308, space
39, 219934156, space
40, 219931996, space
41, 219936476, space
42, 219934412, space
43, 219931948, space
44, 219936476, space
45, 219934668, space
46, 219931868, space
47, 219936476, space
48, 219934924, space
49, 219931908, space
50, 219936476, space
51, 219935180, space
52, 219932164, space
53, 219936476, space
54, 219935436, space
55, 219932684, space
56, 219932108, space
57, 219935692, space
58, 219932940, space
59, 219932108, space
60, 219935948, space
61, 219933196, space
62, 219932108, space
63, 219936204, space
64, 219933452, space
65, 219932108, space
66, 219936460, space
67, 219933708, space
68, 219932108, space
69, 219936716, space
70, 219933964, space
71, 219932108, space
72, 219936476, space
73, 219934220, space
74, 219931996, space
75, 219936476, space
76, 219934476, space
77, 219931948, space
78, 219936476, space
79, 219934732, space
80, 219931868, space
81, 219936476, space
82, 219934988, space
83, 219931972, space
84, 219936476, space
85, 219935244, space
86, 219932228, space
87, 219936476, space
88, 219935500, space
89, 219932748, space
90, 219932108, space
91, 219935756, space
92, 219933004, space
93, 219932108, space
94, 219936012, space
95, 219933260, space
96, 219932108, space
97, 219936268, space
98, 219933516, space
99, 219932108, space
100, 219936524, space
